"variable","lag","lag_m","ami","autocorr"
"BSI",10,1500,0.169953331557657,0.459477984999867
"BSI",11,1650,0.16126315352882,0.44681479643393
"BSI",12,1800,0.157078807505218,0.43672694836818
"BSI",13,1950,0.151231447598807,0.427734586750234
"BSI",14,2100,0.147410031326993,0.418350404989108
"BSI",15,2250,0.144435042541712,0.40593982576739
"BSI",16,2400,0.134342078562912,0.390322106292532
"BSI",17,2550,0.124482923438258,0.371541679926637
"BSI",18,2700,0.115738423465105,0.352959143391024
"BSI",19,2850,0.108472095572934,0.332690732685134
"BSI",20,3000,0.102488181164608,0.312284416917842
"BSI",21,3150,0.0955226314025044,0.289096941246453
"BSI",22,3300,0.0859994789795508,0.261811262191784
"BSI",23,3450,0.0791262778335511,0.232165879396143
"BSI",24,3600,0.0764091046531291,0.201451275268905
"BSI",25,3750,0.0701962965688593,0.171436754657619
"BSI",26,3900,0.0625677264724879,0.142592717676674
"BSI",27,4050,0.0577377483929959,0.116733024852518
"BSI",28,4200,0.0540338523109288,0.0937406620887885
"BSI",29,4350,0.0518840774064823,0.0743182201134044
"BSI",30,4500,0.049237719219222,0.0601985866175775
"NDVI",1,150,0.750089156086206,0.868309630611717
"NDVI",2,300,0.450736313139618,0.70869590257129
"NDVI",3,450,0.333495998505643,0.611750612272238
"NDVI",4,600,0.259525215461593,0.545264360026963
"NDVI",5,750,0.213251230859266,0.497636665781655
"NDVI",6,900,0.173581182798826,0.451141071456113
"NDVI",7,1050,0.149140400484234,0.404657658307721
"NDVI",8,1200,0.131175861354871,0.367161809621159
"NDVI",9,1350,0.116703875484081,0.336597237777055
"NDVI",10,1500,0.106378628772648,0.311108402136968
"NDVI",11,1650,0.0996417518517205,0.289229474714641
"NDVI",12,1800,0.0955762686712828,0.274711054605358
"NDVI",13,1950,0.0934085957340589,0.26390466872202
"NDVI",14,2100,0.0912662132114227,0.256719561262535
"NDVI",15,2250,0.0871161654891452,0.244990407528495
"NDVI",16,2400,0.0756097038927436,0.224285348019377
"NDVI",17,2550,0.0662996291671494,0.199254637442105
"NDVI",18,2700,0.0568192736672063,0.181098844118078
"NDVI",19,2850,0.0500616659090276,0.163122645567605
"NDVI",20,3000,0.0419503187603007,0.136925157288267
"NDVI",21,3150,0.035895225257336,0.0999684557124752
"NDVI",22,3300,0.0322095664195301,0.0601702463957205
"NDVI",23,3450,0.0288744386720466,0.0197411495232258
"NDVI",24,3600,0.0270574535307034,-0.0248799325431542
"NDVI",25,3750,0.0283644714122692,-0.0664009841325783
"NDVI",26,3900,0.0310168759185141,-0.110154890997086
"NDVI",27,4050,0.0371095681908875,-0.149988301922504
"NDVI",28,4200,0.043317093683045,-0.186073634301769
"NDVI",29,4350,0.0508332263348766,-0.211925880160765
"NDVI",30,4500,0.0555660357011687,-0.228830714189953
"LST",1,150,1.2370212766543,0.966986215225485
"LST",2,300,0.775801578288045,0.886834549046836
"LST",3,450,0.600645744562307,0.801451884671927
"LST",4,600,0.496692720713675,0.717789655516006
"LST",5,750,0.428577644997833,0.646273478065623
"LST",6,900,0.381543652632675,0.593904419774788
"LST",7,1050,0.345780833672455,0.560039289560881
"LST",8,1200,0.317603592079589,0.539732652701461
"LST",9,1350,0.297797541101264,0.524456135082697
"LST",10,1500,0.282978721244457,0.507588636844489
"LST",11,1650,0.271098732063434,0.491635523576705
"LST",12,1800,0.25812392262063,0.477481492048571
"LST",13,1950,0.248048579106812,0.462932827544641
"LST",14,2100,0.241554417668782,0.448966213957568
"LST",15,2250,0.229146277655308,0.435559876301329
"LST",16,2400,0.224726982509105,0.424522884377541
"LST",17,2550,0.215219818360857,0.417112113103256
"LST",18,2700,0.211330180423476,0.412010748426259
"LST",19,2850,0.207611887826287,0.407591893955689
"LST",20,3000,0.206005980236514,0.404257669004344
"LST",21,3150,0.201320450893516,0.400687326135207
"LST",22,3300,0.194304767925897,0.394375406106307
"LST",23,3450,0.189340230196431,0.384530752296308
"LST",24,3600,0.183562032577254,0.372502446930548
"LST",25,3750,0.178582887644811,0.359904018001117
"LST",26,3900,0.172808110277332,0.34852248494657
"LST",27,4050,0.169334478167955,0.338043741653377
"LST",28,4200,0.165971680102401,0.32763852638005
"LST",29,4350,0.160690544667613,0.31689302377229
"LST",30,4500,0.153794245168315,0.306054353490675
